review_text,review_stars,title
"I first read Tukey's book maybe 30 years ago. It had a profound effect on me. I had always spent time playing with data: this analysis, that analysis, various plots, etc. But I had never thought of it as something that could be approached in a systematic way, and that that there were many ""easy"" back-of the envelope techniques for getting a sense of your data to quickly understand what you had. In a sense Tukey licensed the idea that data was fun to play with and something that you could just fiddle with as much as you wanted.I think of it as in the same class as mental arithmetic: sure, you have a calculator on your phone; but it's way too slow to get out of your pocket and poke at the screen when all you want is 7*9 or even 387/3. Stem-and-leaf plots let you get a quick idea of what's there, without having to write some script. These skills come in handy all the time.Like everyone, I use a computer for non-trivial data analysis. But Tukey is usually in there, somewhere. For example his box-and-whisker diagrams are in many if not all plotting packages. They look nice and you might even have used them. But understanding the original insights lets you use these tools more effectively.",5.0 out of 5 stars,Exploratory Data Analysis (Classic Version) (Pearson Modern Classic)
"I was not surprised to see that one of the issues raised by previous reviewers is whether or not this book is still relevant, given the enormous improvements in computing since this book was written. While I recognize that there are a lot of good ideas in this book, I must say that far too much of the text is devoted to techniques that are only relevant if one is doing data analysis on paper. This is certainly not to slander Tukey's own extensive knowledge of computing -- simply an admission of the fact that when EDA was written, few readers would have had access to any computing resources, let alone anything comparable to those that are available today. Today, the books suffers for this. A new version of this book, updated to take advantage of today's computing resources, would be quite valuable.",3.0 out of 5 stars,Exploratory Data Analysis (Classic Version) (Pearson Modern Classic)
"I am new to the world of Talent Intelligence and am building a Talent Intelligence function on my team.  Through networking, SEVERAL colleagues pointed me to the work that Toby Culshaw has done at both Philips and Amazon as well as his ""Talent Intelligence Collective"" platform.  I came across his book as I was doing research in the space and took a chance and purchased it.  WOW!  It offers an awesome foundation of what TI is, is NOT, and what it can be as the discipline evolves.  It also offers insights on where to start when building a TI function and best practices from well-respected companies.  Highly Recommend!",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"I recently read this book by Toby Culshaw on talent intelligence and found it to be incredibly insightful and valuable. The book provided a comprehensive overview of the concept of talent intelligence and how it can be used.One of the things I appreciated most about the book was the practical advice and examples it provided. The author offered a step-by-step guide to implementing a talent intelligence program, including tips on how to collect and analyze data, and how to use that data to make informed decisions.Overall, I would highly recommend this book to anyone interested in talent intelligence and its role in driving organizational success. It is well-written and easy to understand, and it offers valuable insights and advice that can help organizations improve their talent strategies.",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"Anyone in sourcing, talent Intelligence, or recruiting needs to read this book. I'll go further that any executive looking to get a competitive edge with their talent should pick it up immediately too. Talent Intelligence is a contender for the HR idea of the decade and Toby has written the guide to establishing the function. An excellent primer for anyone new to the space or anyone looking to build their teams. Great work Toby!",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"Very insightful read about the current and future state of talent intelligence. This is a fast evolving field that can offer talent and competitive advantage. Well written, lots of examples and chapter summaries. For those needing to reinvent workforce planning and talent acquisition in disruptive markets, the book offers many useful tips, guidelines, and examples.",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"Toby Culshaw's book is a must-read for anyone interested in the field.  Whether you're in recruiting, HR, talent management, or workforce planning, you will discover practical value. Culshaw's expertise and insights into the real-world application of talent intelligence make this book an invaluable resource for both seasoned HR professionals and those new to the field.The book is well-written and easy to follow, with clear examples and tactical advice that readers can apply to their own organizations. Culshaw's writing style is engaging and accessible, making even complex concepts easy to understand. For example, at the end of each chapter, Toby provides ""Toby's Takeaways"" section that allows you to quickly revisit core concepts and ideas.Culshaw draws on his own experiences working with organizations to provide real-world examples and case studies that illustrate how talent intelligence can be used to drive business results.If this book review were to have a ""Toby's Takeaways"" It would be:1. Culshaw's book is easy to read2. The book has applicable knowledge to different HR/business professionals3. The advice is future forward, insightful, and practicalI highly recommend this book to anyone interested in the field and give it a well-deserved 5-star rating!",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"This book was pubished at the perfect moment for me while establishing a new TI function in my organisation. It is THE seminal book on the topic, and makes important distinctions between TI and people analytics and how TI complements both workforce/people analytics and recruitment analytics/KPIs. It is an important read for any organisation that has recognized that TI is critical in the early phases of location, organizational structuring, and workforce planning at a time when there is shortage of talent in almost every industry and type of role, from blue collar service technicians and factory and construction workers to software developers to executives in any field. The book provides a clear definition of this emerging field and insight on the trade-offs involved for organisations of any size when deciding what the TI function should do, where it should be located within an organisation, the types of data, tools, and skills necessary to leverage external market data not only to plan tactical talent sourcing and recruitment strategy, but also site location, M&A, go-to-market strategy, talent attraction, diversity planning, competitor organisational analysis, and more. It makes a strong case for partnership between TI and other types of market and financial intelligence as well as how the TA function can be a more strategic partner to the business by leveraging open source market data, proprietary databases, and the as-yet-untapped vast broad market insight recruitment teams gain not only about compensation and benefits and talent but also products, technology, and workplace trends in the market.An extensive chapter summarizing use cases from many different companies and industries is extremely helpful in making the business case for TI and planning TI projects. The book provides information estimating how much time and person-hours might be required for certain kinds of analyses and what both stakeholders and analysts can expect from a new TI function given the organisation's resource constraints.Since TI is a new field, the book acknowledges where the field is going and potential directions in which TI can develop. The author is transparent about sources, definitions, areas of ambiguity.The book is a ""living document"", complemented by the Talent Intelligence Collective Podcast and social media communities, where the definitions and topics in the book are discussed and often refined.Anyone involved in founding a new company, CEOs, and Talent Acquisition leaders making decisions about where to locate, what kinds of people they should hire first, what kinds of benefits and messaging will attract those people, and which organisations they are working for now should start with this book.",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
"This book is amazing! As I was reading this, it felt like Toby was working alongside me for the last few years, taking notes, and making suggestions. He then jumped into his DeLorean Time Machine went into the future and wrote this book. Then came back to 2022 and published it.Seriously. Great read! Easy to understand concepts that might be outside of the traditional TA functions, but is able to tie it back to hiring activities. Dare I say, this book, Toby, and the whole collective are doing for Talent Intelligence like what the ""Phoenix Project"" did for DevOps. I'm already on my second read!",5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
Must have for TI practitioners and those wanting to get into talent intelligence,5.0 out of 5 stars,Talent Intelligence: Use Business and People Data to Drive Organizational Performance
